Content;Likes;Date;Location
🌿CLOSED🌿 We’ve reached 35 million planted trees! To say thank you, Ecosians, it’s time for a #GIVEAWAY. To #win an #Ecosia t-shirt, make sure you're following @Ecosia on Instagram, like this post and tag a friend! 🌳 The 10 winners will be contacted next week! 🍀;3,213 likes;August 15;
Just enjoying some alone time at the coffee shop. Oh, and thanks to the new adblocker we’ve released for our Android browser app, we won’t be interrupted online either. ☕ 🎧 📲  Get Ecosia for Mobile: ecosia.co/walkandtree #android #adblocker #coffeebreak;2,844 likes;August 14;
Did anyone order some trees? Thanks to your searches, these little saplings are now growing all over the Western Usambara mountains in Tanzania 🌱🤗 #switchtoecosia #trees #tanzania;2,401 likes;August 13;Tanzania
Reason #8737 why trees are the best: they grow superfoods like the baobab fruit, which rural communities can sell in order to pay for school fees and medical bills. 📸 from our visit to our reforestation project in Ghana 🍊 🌰 🌿👌🏾 #ecosia #ghana #superfood;2,037 likes;August 11;Ghana
The forest will grow as she does. 📸 from our trip to Burkina Faso. These two generations are preparing seed beds together, just in time for the rainy season. #treeplanting #desert #africa;2,384 likes;August 10;Burkina Faso
Nothing grew in the Sahel for generations, and many villagers lost hope in their soil. The earth beneath their feet became hard and sterile. Some moved to the city, leaving their family behind.But how things change. This year, many villagers came together to help us dig seedbeds to plant trees. Thank you for helping us to re-green the desert with your searches 🌱 🏜️ #ecosia #burkinafaso #africa #trees;3,330 likes;August 9;
For those living in the Sahel region of Burkina Faso, shade trees aren’t a luxury: they’re necessary 🌳🌞🌳 #throwshade #planttrees #ecosia;2,180 likes;August 8;Burkina Faso
We're pretty terrible at keeping secrets. That’s why we publish monthly financial reports so you know how we’re spending our money 👩‍💻💸 Read them on ecosia.dropmark.com #TMI #switchtoecosia #socialbusiness;3,174 likes;August 7;
Our latest tree update is brought to you from a nursery in Ghana! Visit youtube.com/ecosiaorg to find out how your trees are doing around the world 🌏 #switchtoecosia #treeplanting #africa;1,443 likes;August 3;Ghana
This sapling is one of three million we’ve just finished planting in the Western Usambara mountains!The forest will prevent erosion and restore natural water systems, benefiting the local communities who made this project happen 🌱💧😍 #makeitrain #reforestation #tanzania;2,271 likes;August 2;Tanzania
🌍 ❌ Today is #EarthOvershootDay, which means that we have already depleted our planet’s resources for the year 🌍 ❌ ⠀By planting trees with Ecosia, you can restore forest ecosystems and animal habitats. You can also give a stable income to rural farming communities that are most affected by climate change. Help us to #movethedate! #climatechange #ecosia;;August 1;
You spoke, we listened: our new online shop is here! Ecosia plants 20 trees for every t-shirt sold, with 100% of our profits going towards reforestation projects 🌳🌎🌳 Shop via our link in bio. #reforestation #shop #trees #ecosia #women;1,311 likes;July 30;
Browsing the web is so easy, you don’t even need to think about it. But what if you did? Ecosia is a global movement empowering internet users to change the world with their searches. Tag a friend who is still using Google! #switchtoecosia #searchengine #environment;2,511 likes;July 28;
Find out how a former charcoal producer now saves chimpanzees by planting trees funded by your searches. Watch the interview on IGTV 🐒 🌳 😍  #africa #uganda #reforestation #chimpanzees #animals;2,544 likes;July 27;
Your searches have led to millions of trees being planted in the Usambara mountains as part of a full restoration program. 🌳 ⛰️ Next, we'll support local farmers by setting up agroforestry systems on the slopes, where they can grow crops as well as trees. #switchtoecosia #tanzania #africa #trees #nature;1,828 likes;July 26;
What do our planting projects sound like? How many tree updates can our tree-planting officer Pieter squeeze into one phone call? And what are the strangest ‘Climate change is a hoax’ theories on the internet?⠀The first episode of our Ecosia podcast is now live! Tune in on our blog: blog.ecosia.org/ 👂🌱 #podcast #ecosia #trees #climatechange;1,780 likes;July 25;
High up in the Usambara mountains, local communities have come together to plant 3.1 MILLION trees over the past nine months. Thank you for making this happen! 👏🌳😍 #reforestation #tanzania #africa #trees #nature;1,941 likes;July 19;
🇹🇿Tanzania! Our country manager for France @ferdinandrichter has invited a group of social media influencers on a once-in-a-lifetime trip! 🇹🇿⠀🐆🌳Follow their adventures on Instagram as they go on safari, watch the World Cup final in the Savanna and visit our tree-planting sites!🌳 🐆 ⠀@enjoyphoenix @fabienolicard @ludivineoff @docseventv @tom.wallop @charlesvillaa @pr.feuillage @maxbirdofficiel @margauxstips @iliarenon @celineholynski 👏 ⠀#ecosia #trees #tanzania #africa #safari #traveling;2,789 likes;July 17;Tanzania
In 2013, we teamed up with @nature_org to plant our first ever forest – and look at it now! Thanks to your searches, we’re restoring biodiversity in the Atlantic Rainforest 💚 🍃 #reforestation #trees #nature #ecosia;14,496 likes;July 16;
It's #WorldChimpanzeeDay! Chimps need homes too. That's why Ecosia works with the @janegoodallinst in Uganda to restore forest corridors, so this guy can travel safely from one forest patch to another 🐒 #animals #chimps #reforestation #africa;1,789 likes;July 14;
More pictures from Peru! Your trees have left the nursery and are now being planted in the scenic highlands of the Sierra Piura 😍😍😍 #trees #peru #nature;2,239 likes;July 12;
The rainy season has finally begun in Peru! Local villages are now busy planting your trees in the Sierra Piura highlands 🌿 #reforestation #peru #ecosia;1,653 likes;July 11;
Madagascar is a treasure of biodiversity under threat by deforestation. Thanks to your searches, we are restoring mangrove forests along its coast 💜 💦 🌱 #biodiversity #madagascar #photography #forest Photo by our partners @edenprojects!;1,358 likes;July 10;
Berliners! If you spot one of our trees, post a picture and tag #search4trees. We’ll repost the best ones on our story 🌳 #berlin #kreuzberg #craftivism #maybachufer;1,928 likes;July 6;Maybachufer
Our partners @fairventures_worldwide are testing new intercropping methods in Indonesia. Last month, they planted rattan between the trees to help boost their income 🌳 💪  #indonesia #farming #ecosia;1,399 likes;July 1;
Our partners have finished planting your trees in Nicaragua just in time for the rainy season. Within three months, the landscape will be lush and green 🌳💚🍃 #ecosia #nicaragua #treeplanting;1,701 likes;June 30;
Some agroforestry systems grow so fast! We planted these Moringa trees a year ago, and they’ve already outgrown our partners in height 😮🌳 #reforestation #ecosia #nicaragua;2,150 likes;June 28;
‘The reforestation project already has an impact on the soil, and that gives me great joy’ – Zina, forester at Hommes et Terre, our partner in Burkina Faso 🌳 #reforestation #burkinafaso #africa #ecosia;1,192 likes;June 27;
‘The environment is all we have. A healthy environment means a good life.’ – Nadège, cartographer at Hommes et Terre, our partner in Burkina Faso 🌏 #ecosia #environment;1,313 likes;June 25;
Meet our partners in Burkina Faso, Hommes et Terre! They wanted to re-green the desert, but many people thought it would be impossible. Now, it's happening 🌳 👏 #ecosia #desert #trees;1,066 likes;June 23;
Happy Friday, Ecosians! ⠀📷 from our recent trip to Burkina Faso 💜  #fridayfeeling #landscape #naturephotography;1,638 likes;June 22;
It’s 45ºC. It hasn’t rained since 8 months. But still your trees are growing in Burkina Faso!⠀Nature has a trick. During the first year, saplings grow downwards. Their roots go deep enough to find water long after the rainy season has ended.⠀Thank you, Ecosians, for re-greening the Sahel 🌳🌳🌳 #reforestation #burkinafaso #ecosia #nature;1,762 likes;June 20;
Here's an update from Burkina Faso! The community of Tangarawal has just finished seeding their new planting site, and are now waiting for the rainy season to start 💦🌿 Photos by our partner Hommes Et Terre. #desert #burkinafaso #ecosia;1,264 likes;June 18;
Ecosians, so far you have helped us plant over 415 different species of trees in some of the world’s most endangered biodiversity hotspots. We couldn’t have done it without you! 🌳 🙌 🌏  #ecosia #trees #thankyou;1,612 likes;June 14;
Time to announce the winner of our competition! We asked you to name the boat our partners @edenprojects are building, to plant more mangrove trees along the coast of Madagascar. Congratulations to Instagram user @sabrinipi for the winning suggestion, Earthship!We'll keep you updated on Earthship's adventures in Madagascar over the next few months 🚤 💦  #reforestation #madagascar #ecosia;1,152 likes;June 13;
As of today, the Ecosia community has planted 30 million trees! Thank you for looking after our planet. Thank you for changing lives 🌱 💕 🌏 Check out our Story for more info and to download the app! #ecosia #environment #reforestation;3,790 likes;June 12;
Good news! By searching with Ecosia, you have helped us restore over 30 THOUSAND hectares of forest 🌳 🌳 🌳 🌳 🌳 🌳  #reforestation #ecosia #photography;1,685 likes;June 11;
Did you know that your searches have removed over 1.5 million tonnes of CO2 from the atmosphere so far? We owe you a HUGE thank you, Ecosians! ⠀📷 from our recent trip to Tanzania. #reforestation #photography #nature;1,766 likes;June 8;
This #WorldEnvironmentDay, spread the word about Ecosia to help the planet every day, 365 days of the year. 🌳 🌎 #ecosia #tagafriend;1,256 likes;June 5;
We need your creativity! To help us plant more mangrove trees along the coast of Madagascar, our partner is building a boat – and like every respectable boat, it needs a name. ⚓  Leave your suggestions in the comments below 👇 ⠀ 🚤 Winner announced next Monday! #madagascar #boat;2,024 likes;June 5;
Summer is on its way! Install our Android browser app to take Ecosia with you, anywhere. Link in bio ☀️🌷🍃 #holidayvibes #android;2,157 likes;May 31;
This nursery in Tanzania is where baby saplings are born! Our partners look after your trees here, before they are moved to the planting sites 🌱🌱🌱🌱 #reforestation #ecosia #tanzania;1,527 likes;May 28;
In the Usambara Mountains, our partners are planting 20 different species of tree to restore a region damaged by wildfires. Within five years, the landscape will be transformed. #ecosia #reforestation #tanzania;1,331 likes;May 25;
How beautiful are the Usambara Mountains in Tanzania? Thanks to your searches, we are restoring biodiverse forests in this part of the world 🌎 #ecosia #climateaction #reforestation;2,037 likes;May 24;
Together with @edenprojects, Ecosia is planting millions of mangroves to protect the north-western coast of Madagascar. #photography #nature #madagascar #ecosia;1,228 likes;May 23;
Your searches with Ecosia are helping to restore the world's most endangered biodiversity hotspots. So, for #BiodiversityDay, we want to say a huge thank you!⠀📷 from our recent trip to Tanzania. #ecosia #reforestation #trees #tanzania #photography;1,586 likes;May 22;
